Datetime,Collection_Slug,Floor_Price
26/12/2021 03:50,billionairezombiesclub,0.07
26/12/2021 03:50,boredapeyachtclub,55.95
26/12/2021 03:50,adidasoriginals,0.7399
26/12/2021 03:50,veefriends,9.0
26/12/2021 03:50,derace-ticket,2.74
26/12/2021 03:50,zed-run-official,0.009899
26/12/2021 03:50,derace-horses,0.795
27/12/2021 04:50,bigtime-founders,0.26
26/12/2021 04:00,slotienft,0.429
26/12/2021 04:00,billionairezombiesclub,0.07
26/12/2021 04:00,boredapeyachtclub,55.95
26/12/2021 04:00,adidasoriginals,0.739
26/12/2021 04:00,veefriends,9.0
26/12/2021 04:00,derace-ticket,2.74
26/12/2021 04:00,zed-run-official,0.009899
26/12/2021 04:00,derace-horses,0.795
27/12/2021 05:00,bigtime-founders,0.26
26/12/2021 04:10,slotienft,0.429
26/12/2021 04:10,billionairezombiesclub,0.07
26/12/2021 04:10,boredapeyachtclub,55.95
26/12/2021 04:10,adidasoriginals,0.7399
26/12/2021 04:10,veefriends,9.0
26/12/2021 04:10,derace-ticket,2.74
26/12/2021 04:10,zed-run-official,0.009899
26/12/2021 04:10,derace-horses,0.795
27/12/2021 05:10,bigtime-founders,0.26
26/12/2021 04:20,slotienft,0.429
26/12/2021 04:20,billionairezombiesclub,0.07
26/12/2021 04:20,boredapeyachtclub,55.95
26/12/2021 04:20,adidasoriginals,0.7399
26/12/2021 04:20,veefriends,9.0
26/12/2021 04:20,derace-ticket,2.74
26/12/2021 04:20,zed-run-official,0.009899
26/12/2021 04:20,derace-horses,0.795
27/12/2021 05:20,bigtime-founders,0.26
26/12/2021 04:30,slotienft,0.429
26/12/2021 04:30,billionairezombiesclub,0.07
26/12/2021 04:30,boredapeyachtclub,55.95
26/12/2021 04:30,adidasoriginals,0.7399
26/12/2021 04:30,veefriends,9.0
26/12/2021 04:30,derace-ticket,2.74
26/12/2021 04:30,zed-run-official,0.009899
26/12/2021 04:30,derace-horses,0.795
29/12/2021 15:50,bigtime-founders,0.257
26/12/2021 04:40,slotienft,0.4279
26/12/2021 04:40,billionairezombiesclub,0.07
26/12/2021 04:40,boredapeyachtclub,55.95
26/12/2021 04:40,adidasoriginals,0.7399
26/12/2021 04:40,veefriends,9.0
26/12/2021 04:40,derace-ticket,2.74
26/12/2021 04:40,zed-run-official,0.0098
26/12/2021 04:40,derace-horses,0.795
29/12/2021 16:00,bigtime-founders,0.257
26/12/2021 04:50,slotienft,0.429
26/12/2021 04:50,billionairezombiesclub,0.07
26/12/2021 04:50,boredapeyachtclub,55.95
26/12/2021 04:50,adidasoriginals,0.7398
26/12/2021 04:50,veefriends,9.0
26/12/2021 04:50,derace-ticket,2.74
26/12/2021 04:50,zed-run-official,0.0098
26/12/2021 04:50,derace-horses,0.795
29/12/2021 16:10,bigtime-founders,0.257
26/12/2021 05:00,slotienft,0.426
26/12/2021 05:00,billionairezombiesclub,0.07
26/12/2021 05:00,boredapeyachtclub,55.95
26/12/2021 05:00,adidasoriginals,0.7398
26/12/2021 05:00,veefriends,9.0
26/12/2021 05:00,derace-ticket,2.74
26/12/2021 05:00,zed-run-official,0.0098
26/12/2021 05:00,derace-horses,0.795
29/12/2021 16:20,bigtime-founders,0.257
26/12/2021 05:10,slotienft,0.426
26/12/2021 05:10,billionairezombiesclub,0.07
